SerCon 'Callisto CF-IRMS' system,,,,,,,,,,,
10:07:04,08/12/16,,,,,,,,,,
,,,,,,,,,,,
Data from file : C:\Sercon\Callisto v1014\SERCON_GSL\Results\160812.prn,,,,,,,,,,,
Un-Drift Corrected,,,,,,,,,,,
N,Name,Weight/Vol,Beam Area,N (Sam),15N (Sam),None (Sam),Beam Area,C (Sam),13C (Sam),18O (Sam),
 , , , , ug,DeltaAir, , , ug,DeltaPDB,DeltaPDB, 
1,ALANINE,1.02,2.56E-07,0,0,0,4.15E-07,0,0,0,
2,ALANINE,1.08,2.87E-07,15.69999981,-1.559999943,0,4.72E-07,40.40000153,-27.11000061,-18,
3,ALANINE,1.03,2.68E-07,158.4118128,-1.050792801,0,4.40E-07,406.1724265,-27.0679445,-54.2955392,
4,ALANINE,1.07,2.85E-07,168.2677938,-0.82327089,0,4.66E-07,430.1139764,-26.90778824,-55.88861258,
5,ALANINE,1.1,2.89E-07,170.6268769,-0.644916005,0,4.73E-07,436.5267296,-26.85082821,-56.20046331,
6,ALANINE,1.08,2.91E-07,171.476426,-0.495170379,0,4.76E-07,439.2532894,-26.71095826,-55.9647973,
7,ALANINE,1.15,2.44E-09,1.438900088,-0.641396408,0,6.82E-12,6.30E-03,1036.696817,3299.705162,
8,ALANINE,1.1,2.95E-07,15.69999981,-1.559999943,0,4.85E-07,40.40000153,-27.11000061,-18,
9,TM05,0.62,4.09E-08,23.94447575,3.100996197,0,3.61E-07,330.3704894,-24.43827033,-46.52944615,
10,TBR246,0.71,1.23E-07,71.99029756,8.97490816,0,4.10E-07,375.7829661,-22.54883247,-47.36536059,
11,USGS40,1,1.66E-07,96.97128087,-4.382425761,0,4.49E-07,411.3740075,-26.16017236,-46.38987895,
12,TBR245,0.71,1.14E-07,66.77308487,9.234731612,0,4.17E-07,382.1433543,-22.82172654,-46.45776756,
13,TBR240,0.71,4.69E-08,27.4764176,3.975033012,0,4.29E-07,392.73739,-23.08744251,-47.33147757,
14,ESS109,1.15,2.57E-07,150.4195743,5.035243611,0,4.59E-07,420.0650977,-21.31020231,-45.74246244,
