SerCon 'Callisto CF-IRMS' system
10:07:04	08-12-2016

Data from file : C:\Sercon\Callisto v1014\SERCON_GSL\Results\160812.prn
Un-Drift Corrected
N	Name	Weight/Vol	Beam Area	N (Sam)	15N (Sam)	None (Sam)	Beam Area	C (Sam)	13C (Sam)	18O (Sam)	
 	 	 	 	 ug	DeltaAir	 	 	 ug	DeltaPDB	DeltaPDB	 
 1 	ALANINE	 1.02 	 2.55775529811597E-07 	 0 	 0 	 0 	 4.14907886048255E-07 	 0 	 0 	 0 	
 2 	ALANINE	 1.08 	 2.87364497336684E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 4.72401921802756E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 3 	ALANINE	 1.03 	 2.68480320614328E-07 	 158.411812777773 	-1.05079280070181 	 0 	 4.39760759363139E-07 	 406.172426475701 	-27.0679444987848 	-54.2955391956714 	
 4 	ALANINE	 1.07 	 2.85192219950936E-07 	 168.267793770867 	-0.82327088983998 	 0 	 4.65681949224361E-07 	 430.113976351152 	-26.9077882429767 	-55.8886125814236 	
 5 	ALANINE	 1.1 	 2.8919327882404E-07 	 170.626876884573 	-0.644916005490559 	 0 	 4.72624936076471E-07 	 436.526729556353 	-26.8508282111016 	-56.2004633112025 	
 6 	ALANINE	 1.08 	 2.90635683825036E-07 	 171.476426037963 	-0.495170378864837 	 0 	 4.75576936720401E-07 	 439.253289408708 	-26.7109582641909 	-55.9647973041537 	
 7 	ALANINE	 1.15 	 2.43806400285554E-09 	 1.43890008761155 	-0.641396408126917 	 0 	 6.81877942781614E-12 	 6.30306028020663E-03 	 1036.69681748039 	 3299.70516151491 	
 8 	ALANINE	 1.1 	 2.94960402075217E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 4.85130360328156E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 9 	TM05	 0.62 	 4.08923613512413E-08 	 23.9444757519433 	 3.10099619674532 	 0 	 3.60648798714003E-07 	 330.370489398403 	-24.4382703300552 	-46.529446152728 	
 10 	TBR246	 0.71 	 1.22946391692413E-07 	 71.9902975566405 	 8.97490816033214 	 0 	 4.10222441793451E-07 	 375.782966126693 	-22.5488324665072 	-47.3653605926971 	
 11 	USGS40	 1 	 1.65614177483064E-07 	 96.971280873673 	-4.38242576079227 	 0 	 4.4907704777053E-07 	 411.374007481883 	-26.1601723619063 	-46.3898789488998 	
 12 	TBR245	 0.71 	 1.14035130352463E-07 	 66.7730848709149 	 9.23473161169908 	 0 	 4.1716590259977E-07 	 382.14335428661 	-22.8217265424592 	-46.4577675593633 	
 13 	TBR240	 0.71 	 4.69230116914576E-08 	 27.4764176017676 	 3.97503301152337 	 0 	 4.28730930646104E-07 	 392.737390009162 	-23.087442510608 	-47.3314775670357 	
 14 	ESS109	 1.15 	 2.56894722605594E-07 	 150.419574295584 	 5.03524361120634 	 0 	 4.58562371075111E-07 	 420.065097706416 	-21.3102023070033 	-45.7424624416032 	
 15 	SALANINE	 0.98 	 2.55941477539379E-07 	 149.858460402624 	-1.18708444245319 	 0 	 4.18018613612681E-07 	 382.922679417569 	-27.0676473709081 	-44.7509518941756 	
 16 	ALANINE	 1.09 	 2.83902134551317E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 4.59844101463602E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 17 	TBR239	 0.68 	 3.9199832022746E-08 	 23.6310115634587 	 0.45475031750236 	 0 	 4.36382556201487E-07 	 417.894659478978 	-22.4762076903636 	-48.7015077936914 	
 18 	TM10	 0.61 	 4.3089065801527E-08 	 25.9762491998067 	 2.04578702676175 	 0 	 3.64977389977206E-07 	 349.51457004747 	-22.8236597108727 	-49.449849891308 	
 19 	TBR247	 0.71 	 3.91330295529402E-08 	 23.5918637271541 	 5.39371298554269 	 0 	 4.53856709325962E-07 	 434.628087187297 	-23.4092153206378 	-49.1247105784157 	
 20 	TBR253	 0.68 	 4.64540528058444E-08 	 28.0055851026169 	 5.0196604862628 	 0 	 4.22942619593414E-07 	 405.023831297927 	-23.2977694426374 	-49.5156820899985 	
 21 	TBR251	 0.66 	 4.09106990645336E-08 	 24.6640025991193 	 2.836756831904 	 0 	 4.54738520283549E-07 	 435.472555375257 	-23.4537588200901 	-49.4664601242133 	
 22 	TBR241	 0.71 	 5.43572969968764E-08 	 32.7703234305465 	 2.38787935455669 	 0 	 4.37248497076048E-07 	 418.72365876724 	-23.2189345866014 	-49.6704228907541 	
 23 	SALANINE	 1.15 	 3.05343804712921E-07 	 184.068011505486 	-1.50042080808411 	 0 	 4.92828952980418E-07 	 471.94737733242 	-26.9832436717807 	-48.452915348179 	
 24 	ALANINE	 1.15 	 3.07768018986687E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 4.97116910080919E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 25 	TM06	 0.63 	 3.79884287429744E-08 	 22.2878936599448 	-2.9120657300711 	 0 	 3.99066087175548E-07 	 372.963976446547 	-24.0884088886597 	-47.9095919380565 	
 26 	TM01	 0.63 	 3.10906292828872E-08 	 18.2414599418598 	 0.793322138077923 	 0 	 3.98904827614288E-07 	 372.813395158629 	-23.8279302363942 	-48.4907682994548 	
 27 	USGS40	 1.05 	 1.68562667990368E-07 	 98.893388589256 	-4.74692164942368 	 0 	 4.5496147604851E-07 	 425.202319784258 	-26.3635732078296 	-47.3541063179349 	
 28 	TM07	 0.64 	 3.28109133508614E-08 	 19.2509557595327 	 0.714609182726026 	 0 	 3.87167156223889E-07 	 361.843676345106 	-23.1657123130174 	-47.5804436974643 	
 29 	TBR252	 0.68 	 4.33004728218889E-08 	 25.4056934571685 	 4.24831899325161 	 0 	 4.42444143988752E-07 	 413.50492304546 	-23.7748035431007 	-48.1357359593922 	
 30 	TM08	 0.65 	 3.316732578168E-08 	 19.4604586880327 	 0.377559230735053 	 0 	 4.0301339532256E-07 	 376.652918622072 	-24.6729394469924 	-48.4902078716448 	
 31 	SALANINE	 1.12 	 2.87878206217673E-07 	 168.894191402875 	-1.50926064403825 	 0 	 4.65416545303299E-07 	 434.973178834137 	-27.0730106505178 	-46.9543872672209 	
 32 	ALANINE	 1.17 	 3.1376966377894E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 5.0790981531712E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 33 	TBR254	 0.7 	 2.41218139213073E-08 	 14.1231737115769 	 0.508493524232586 	 0 	 3.65857813267034E-07 	 340.482155535885 	-24.1666594672872 	-47.9679932096632 	
 34 	TBR242	 0.69 	 3.19076990107359E-08 	 18.6820274958354 	-0.432171159777466 	 0 	 4.38360698296059E-07 	 407.956768984575 	-23.1065832118264 	-48.5853175598653 	
 35 	TM03	 0.7 	 4.47034520303924E-08 	 26.1741602643759 	 0.296308536812769 	 0 	 4.55582325531445E-07 	 423.984233119486 	-22.4673252392248 	-49.0500216524906 	
 36 	USGS40	 1.04 	 1.69949194522845E-07 	 99.500683381505 	-4.89586659709044 	 0 	 4.58496117961005E-07 	 426.694149662724 	-26.4053872450868 	-48.4904805020095 	
 37 	TBR243	 0.7 	 4.19521335309758E-08 	 24.5633604685839 	-0.77528204179094 	 0 	 4.45626693434953E-07 	 414.719001425683 	-22.6598666103743 	-48.6653049196562 	
 38 	USGS40	 0.99 	 3.09234057277452E-07 	 181.043259844113 	-1.6058910616722 	 0 	 5.01525758700438E-07 	 466.73879237045 	-27.1807320811669 	-48.2305056260906 	
 39 	SALANINE	 1.03 	 2.6736185515519E-07 	 156.526990804702 	-1.57078093928628 	 0 	 4.34584997210941E-07 	 404.44108678173 	-27.24890901573 	-46.929966668153 	
 40 	ALANINE	 1.13 	 2.7856504275503E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 4.5283770755411E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 41 	TM12	 0.64 	 3.78830284121501E-08 	 24.1288233664889 	-0.145615645610898 	 0 	 3.92327005105386E-07 	 395.518597018533 	-23.9947622049666 	-48.2264485049492 	
 42 	TM09	 0.61 	 3.49895405982181E-08 	 22.2864186449558 	 0.342667910314351 	 0 	 3.98196345230417E-07 	 401.435804157461 	-23.7914746388414 	-49.024333830427 	
 43 	SEAL2	 1.14 	 2.79408163245121E-07 	 177.955547853006 	 16.9884012156866 	 0 	 4.80370996536195E-07 	 484.284176425505 	-13.4269978646709 	-48.3263688867891 	
 44 	TBR255	 0.74 	 4.99343123135099E-08 	 31.8052671760719 	 7.17270149174627 	 0 	 4.64872415006923E-07 	 468.654656868476 	-23.0748453924466 	-49.1491905795442 	
 45 	TM11	 0.7 	 4.81878612013098E-08 	 30.6933154239092 	-0.871196867864336 	 0 	 4.29130906032249E-07 	 432.622451054881 	-23.0269499977221 	-50.1687896138065 	
 46 	TBR236	 0.71 	 1.07970671528457E-07 	 68.7713051812245 	 2.3222208707491 	 0 	 4.4032906976188E-07 	 443.912055558571 	-22.3436242310696 	-50.2687418016227 	
 47 	SALANINE	 1.15 	 2.84553123036657E-07 	 181.233529153689 	-1.54168781306355 	 0 	 4.61417855035506E-07 	 465.170050459747 	-27.0781848563574 	-49.2937163102178 	
 48 	ALANINE	 1.04 	 2.67898254274757E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 4.35948256494179E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 49 	TM04	 0.69 	 3.61542827516381E-08 	 22.0373658113486 	-1.19803619152748 	 0 	 4.34933660309333E-07 	 419.183954525077 	-23.0621931577134 	-48.0362295752416 	
 50 	SEAL2	 1.15 	 2.8947804636692E-07 	 176.436891090392 	 17.0388983888607 	 0 	 4.96148545803266E-07 	 478.187071538155 	-13.2811824622851 	-48.157554537447 	
 51 	TBR238	 0.68 	 5.37433444448843E-08 	 32.7584369663025 	 0.540620693855355 	 0 	 4.06127747321072E-07 	 391.421550841813 	-22.1936341751052 	-48.7774295622047 	
 52 	ESS107	 1.02 	 2.54532977805866E-07 	 155.139243303004 	 5.48735660080199 	 0 	 4.50873536395058E-07 	 434.547123000665 	-21.9257443733662 	-47.8365148996445 	
 53 	TBR249	 0.62 	 2.85541990538429E-08 	 17.4052868432272 	 3.51367595991109 	 0 	 4.02454479297987E-07 	 387.880580638517 	-23.9527185432893 	-48.6651582860525 	
 54 	TBR248	 0.62 	 2.97063745685611E-08 	 18.1079062742065 	 1.79540885566485 	 0 	 4.05785010482163E-07 	 391.090795490893 	-23.3394745529147 	-49.4176034365327 	
 55 	SALANINE	 1.12 	 4.82056865147573E-07 	 293.807303380866 	-2.60566661787922 	 0 	 9.61393419540713E-07 	 926.57747161992 	-25.8396597620469 	-51.7911086136817 	
 56 	ALANINE	 1.05 	 2.80932653085042E-07 	 15.6999998092651 	-1.55999994277954 	 0 	 4.5807312432089E-07 	 40.4000015258789 	-27.1100006103516 	-18 	
 57 	SEAL2	 1.1 	 2.67793127228799E-07 	 157.14310870846 	 17.1104540541528 	 0 	 4.61534735540781E-07 	 427.411684194243 	-13.4190712072967 	-45.7907145048433 	
 58 	TBR244	 0.65 	 3.49209217653801E-08 	 20.493559283443 	 0.592325913088311 	 0 	 4.35993696035197E-07 	 403.754977060296 	-23.1211944340464 	-47.0474771148575 	
